waveform	Ch0		Gen	
t0	3/17/2021  13:06:45.102783		3/17/2021  13:06:45.102785	
delta t	5.000000E-6		5.000000E-6	

time[0]	Ch0	time[1]	Gen
3/17/2021  13:06:45.103053	-2.471904E+0	3/17/2021  13:06:45.103055	-2.481609E-3
3/17/2021  13:06:45.103058	-2.458877E+0	3/17/2021  13:06:45.103060	-2.155913E-3
3/17/2021  13:06:45.103063	-2.443243E+0	3/17/2021  13:06:45.103065	-2.481609E-3
3/17/2021  13:06:45.103068	-2.425981E+0	3/17/2021  13:06:45.103070	-2.155913E-3
3/17/2021  13:06:45.103073	-2.403834E+0	3/17/2021  13:06:45.103075	-3.133000E-3
3/17/2021  13:06:45.103078	-2.382012E+0	3/17/2021  13:06:45.103080	-3.133000E-3
3/17/2021  13:06:45.103083	-2.356934E+0	3/17/2021  13:06:45.103085	-2.481609E-3
3/17/2021  13:06:45.103088	-2.329901E+0	3/17/2021  13:06:45.103090	-2.155913E-3
3/17/2021  13:06:45.103093	-2.298960E+0	3/17/2021  13:06:45.103095	-2.807304E-3
3/17/2021  13:06:45.103098	-2.267368E+0	3/17/2021  13:06:45.103100	-2.155913E-3
3/17/2021  13:06:45.103103	-2.232844E+0	3/17/2021  13:06:45.103105	-2.481609E-3
3/17/2021  13:06:45.103108	-2.196692E+0	3/17/2021  13:06:45.103110	-1.830218E-3
3/17/2021  13:06:45.103113	-2.158585E+0	3/17/2021  13:06:45.103115	-2.807304E-3
3/17/2021  13:06:45.103118	-2.118199E+0	3/17/2021  13:06:45.103120	-3.133000E-3
3/17/2021  13:06:45.103123	-2.075859E+0	3/17/2021  13:06:45.103125	-2.155913E-3
3/17/2021  13:06:45.103128	-2.030587E+0	3/17/2021  13:06:45.103130	-2.155913E-3
3/17/2021  13:06:45.103133	-1.983687E+0	3/17/2021  13:06:45.103135	-3.133000E-3
3/17/2021  13:06:45.103138	-1.935158E+0	3/17/2021  13:06:45.103140	-2.807304E-3
3/17/2021  13:06:45.103143	-1.884676E+0	3/17/2021  13:06:45.103145	-2.155913E-3
3/17/2021  13:06:45.103148	-1.830936E+0	3/17/2021  13:06:45.103150	-3.133000E-3
3/17/2021  13:06:45.103153	-1.777847E+0	3/17/2021  13:06:45.103155	-2.481609E-3
3/17/2021  13:06:45.103158	-1.722154E+0	3/17/2021  13:06:45.103160	-2.155913E-3
3/17/2021  13:06:45.103163	-1.663203E+0	3/17/2021  13:06:45.103165	-3.133000E-3
3/17/2021  13:06:45.103168	-1.604903E+0	3/17/2021  13:06:45.103170	-1.830218E-3
3/17/2021  13:06:45.103173	-1.543021E+0	3/17/2021  13:06:45.103175	-2.481609E-3
3/17/2021  13:06:45.103178	-1.480162E+0	3/17/2021  13:06:45.103180	-3.133000E-3
3/17/2021  13:06:45.103183	-1.417303E+0	3/17/2021  13:06:45.103185	-1.830218E-3
3/17/2021  13:06:45.103188	-1.351186E+0	3/17/2021  13:06:45.103190	-3.133000E-3
3/17/2021  13:06:45.103193	-1.283767E+0	3/17/2021  13:06:45.103195	-2.481609E-3
3/17/2021  13:06:45.103198	-1.216023E+0	3/17/2021  13:06:45.103200	-2.155913E-3
3/17/2021  13:06:45.103203	-1.146324E+0	3/17/2021  13:06:45.103205	-2.481609E-3
3/17/2021  13:06:45.103208	-1.076299E+0	3/17/2021  13:06:45.103210	-1.830218E-3
3/17/2021  13:06:45.103213	-1.005624E+0	3/17/2021  13:06:45.103215	-2.481609E-3
3/17/2021  13:06:45.103218	-9.329935E-1	3/17/2021  13:06:45.103220	-2.481609E-3
3/17/2021  13:06:45.103223	-8.597120E-1	3/17/2021  13:06:45.103225	-2.155913E-3
3/17/2021  13:06:45.103228	-7.854534E-1	3/17/2021  13:06:45.103230	-2.481609E-3
3/17/2021  13:06:45.103233	-7.105435E-1	3/17/2021  13:06:45.103235	-3.133000E-3
3/17/2021  13:06:45.103238	-6.356335E-1	3/17/2021  13:06:45.103240	-1.830218E-3
3/17/2021  13:06:45.103243	-5.590951E-1	3/17/2021  13:06:45.103245	-1.504522E-3
3/17/2021  13:06:45.103248	-4.822310E-1	3/17/2021  13:06:45.103250	-2.481609E-3
3/17/2021  13:06:45.103253	-4.050412E-1	3/17/2021  13:06:45.103255	-2.155913E-3
3/17/2021  13:06:45.103258	-3.265486E-1	3/17/2021  13:06:45.103260	-2.155913E-3
3/17/2021  13:06:45.103263	-2.493587E-1	3/17/2021  13:06:45.103265	-2.481609E-3
3/17/2021  13:06:45.103268	-1.708661E-1	3/17/2021  13:06:45.103270	-1.830218E-3
3/17/2021  13:06:45.103273	-9.269924E-2	3/17/2021  13:06:45.103275	-2.807304E-3
3/17/2021  13:06:45.103278	-1.322956E-2	3/17/2021  13:06:45.103280	-2.481609E-3
3/17/2021  13:06:45.103283	6.461165E-2	3/17/2021  13:06:45.103285	-2.481609E-3
3/17/2021  13:06:45.103288	1.431043E-1	3/17/2021  13:06:45.103290	-2.481609E-3
3/17/2021  13:06:45.103293	2.209455E-1	3/17/2021  13:06:45.103295	-2.155913E-3
3/17/2021  13:06:45.103298	2.987867E-1	3/17/2021  13:06:45.103300	-1.178827E-3
