waveform	Ch0	
t0	3/17/2021  12:55:17.422861	
delta t	5.000000E-6	

time[0]	Ch0
3/17/2021  12:55:17.423411	1.398986E+0
3/17/2021  12:55:17.423416	1.463474E+0
3/17/2021  12:55:17.423421	1.526007E+0
3/17/2021  12:55:17.423426	1.586586E+0
3/17/2021  12:55:17.423431	1.646840E+0
3/17/2021  12:55:17.423436	1.703837E+0
3/17/2021  12:55:17.423441	1.760508E+0
3/17/2021  12:55:17.423446	1.815225E+0
3/17/2021  12:55:17.423451	1.868964E+0
3/17/2021  12:55:17.423456	1.918796E+0
3/17/2021  12:55:17.423461	1.967650E+0
3/17/2021  12:55:17.423466	2.016179E+0
3/17/2021  12:55:17.423471	2.060473E+0
3/17/2021  12:55:17.423476	2.103139E+0
3/17/2021  12:55:17.423481	2.145480E+0
3/17/2021  12:55:17.423486	2.183260E+0
3/17/2021  12:55:17.423491	2.220715E+0
3/17/2021  12:55:17.423496	2.255239E+0
3/17/2021  12:55:17.423501	2.286832E+0
3/17/2021  12:55:17.423506	2.317773E+0
3/17/2021  12:55:17.423511	2.346760E+0
3/17/2021  12:55:17.423516	2.371187E+0
3/17/2021  12:55:17.423521	2.393660E+0
3/17/2021  12:55:17.423526	2.414830E+0
3/17/2021  12:55:17.423531	2.432743E+0
3/17/2021  12:55:17.423536	2.449354E+0
3/17/2021  12:55:17.423541	2.464661E+0
3/17/2021  12:55:17.423546	2.473781E+0
3/17/2021  12:55:17.423551	2.483552E+0
3/17/2021  12:55:17.423556	2.490717E+0
3/17/2021  12:55:17.423561	2.492997E+0
3/17/2021  12:55:17.423566	2.494951E+0
3/17/2021  12:55:17.423571	2.493974E+0
3/17/2021  12:55:17.423576	2.490391E+0
3/17/2021  12:55:17.423581	2.485180E+0
3/17/2021  12:55:17.423586	2.477038E+0
3/17/2021  12:55:17.423591	2.465313E+0
3/17/2021  12:55:17.423596	2.451959E+0
3/17/2021  12:55:17.423601	2.435674E+0
3/17/2021  12:55:17.423606	2.418413E+0
3/17/2021  12:55:17.423611	2.398219E+0
3/17/2021  12:55:17.423616	2.374444E+0
3/17/2021  12:55:17.423621	2.350668E+0
3/17/2021  12:55:17.423626	2.321681E+0
3/17/2021  12:55:17.423631	2.292368E+0
3/17/2021  12:55:17.423636	2.259799E+0
3/17/2021  12:55:17.423641	2.225275E+0
3/17/2021  12:55:17.423646	2.188797E+0
